task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;37/a510de;nf-37a510de8a698b3a2270eceb65149046;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1625115007985;1625115013000;1625115028000;20015;13854;-;92.9;0.1;24858624;86208512;25096192;86261760;69959808;3854844;26494;2295;3592192;5648384;518;83;/workdir/work/37/a510de8a698b3a2270eceb65149046;true;-
1;9f/a22838;nf-9fa2283862a13be1fb4bb75200520e50;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1625115007807;1625115012000;1625115046000;38193;32162;-;81.2;0.1;28246016;398278656;28483584;398450688;71503090;4867320;27792;2519;54755328;6799360;618;59;/workdir/work/9f/a2283862a13be1fb4bb75200520e50;true;-
12;02/b7984e;nf-02b7984e32d101c2782de692a97c126b;preprocessing:preprocess;LT05_L1TP_183035_19980811_20170717_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115053354;1625115063000;1625115261000;207646;198278;-;178.9;24.3;4083326976;5960613888;4083326976;5960667136;113053011;15357109;11023;1727;0;15482880;557;1162;/workdir/work/02/b7984e32d101c2782de692a97c126b;true;-
4;99/207ecb;nf-99207ecb727f5ba77b79b3837bc06075;preprocessing:preprocess;LT05_L1TP_183035_19980421_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115052208;1625115060000;1625115279000;226792;218167;-;174.6;24.3;4080574464;5960581120;4080574464;5960634368;121553564;18587020;11350;1823;0;18706432;879;875;/workdir/work/99/207ecb727f5ba77b79b3837bc06075;true;-
6;2e/1ab71e;nf-2e1ab71ecf2ab0b5b5a3ccda4a7da048;preprocessing:preprocess;LT05_L1TP_183035_19980523_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115052576;1625115063000;1625115287000;234424;223815;-;176.5;24.3;4082343936;5961752576;4082343936;5961805824;122205286;15527604;11292;1731;0;15654912;584;823;/workdir/work/2e/1ab71ecf2ab0b5b5a3ccda4a7da048;true;-
13;16/7f8ff0;nf-167f8ff08f8d10f696e679c9f4ca715b;preprocessing:preprocess;LT05_L1TP_183035_19950718_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115053640;1625115064000;1625115288000;234360;224120;-;173.4;23.8;3992170496;5860831232;3992170496;5860884480;101252317;6503409;9764;1457;0;6631424;632;670;/workdir/work/16/7f8ff08f8d10f696e679c9f4ca715b;true;-
14;45/30cd25;nf-4530cd25769d62e2e83b4d1e7d480fce;preprocessing:preprocess;LT05_L1TP_183035_20010616_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115053882;1625115062000;1625115290000;236118;227717;-;172.2;24.0;4034347008;5914595328;4034347008;5914648576;122744673;9003366;10634;1535;737280;9125888;631;697;/workdir/work/45/30cd25769d62e2e83b4d1e7d480fce;true;-
3;61/60cf95;nf-6160cf95a92cffb9d5581541ffa9de3a;preprocessing:preprocess;LT05_L1TP_183035_20040811_20180309_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115052310;1625115062000;1625115297000;244690;234843;-;171.2;24.2;4071903232;5942378496;4071903232;5942431744;112434005;18999710;10912;1837;1044480;19116032;579;669;/workdir/work/61/60cf95a92cffb9d5581541ffa9de3a;true;-
5;59/25aff0;nf-5925aff0b5dbbcbff6a9074f434ed588;preprocessing:preprocess;LE07_L1TP_183035_20000824_20170210_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115052458;1625115063000;1625115314000;261542;250265;-;169.0;24.0;4033757184;5912489984;4033757184;5912543232;115887195;8095619;10576;1505;139264;8216576;536;816;/workdir/work/59/25aff0b5dbbcbff6a9074f434ed588;true;-
11;75/ea1c67;nf-75ea1c67130cda614f78e9d168849210;preprocessing:preprocess;LE07_L1TP_183035_20030105_20170127_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20030105_20170127_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625115053226;1625115060000;1625115320000;266774;259588;-;169.6;24.4;4105601024;5978648576;4105601024;5978701824;132549386;13768419;11856;1679;0;13893632;714;813;/workdir/work/75/ea1c67130cda614f78e9d168849210;true;-
