task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;27/35c260;3860;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1625150655979;1625150656068;1625150662892;6913;1560;-;797.3;0.0;21434368;86532096;25321472;86585344;69809244;2716205;26457;2016;6627328;3952640;469;2;/data/Jakku/fonda/B5-EO-01-NF/work/27/35c2602f194aaeaefbb2cafbee4451;-;-
1;43/9a1d04;3862;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1625150655990;1625150656077;1625150672991;17001;15331;-;320.0;0.0;27869184;100597760;28225536;100962304;67461826;3347948;27199;2147;933470208;4882432;335;14;/data/Jakku/fonda/B5-EO-01-NF/work/43/9a1d04c7b21c40f04fd73e0558a809;-;-
13;44/38b90e;22927;preprocessing:preprocess;LE07_L1TP_182036_20040913_20170119_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20040913_20170119_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673171;1625150673212;1625151108202;435031;431886;-;121.8;0.5;4028710912;12875046912;4028710912;12875100160;102617588;77301833;14970;3913;71356416;77795328;1367;943;/data/Jakku/fonda/B5-EO-01-NF/work/44/38b90efe46da0b30562ccb86e05814;-;-
65;d0/13ac14;23788;preprocessing:preprocess;LE07_L1TP_182036_20060818_20170109_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20060818_20170109_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673303;1625150673440;1625151109203;435900;430865;-;122.6;0.5;4033921024;12880633856;4033921024;12880687104;101772580;83128818;14969;4082;70504448;83619840;1402;701;/data/Jakku/fonda/B5-EO-01-NF/work/d0/13ac1461f89fd537cdaa7b13463887;-;-
87;4c/fa0da3;24689;preprocessing:preprocess;LT05_L1TP_182036_19960220_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19960220_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673494;1625150673550;1625151123309;449815;443436;-;123.0;0.5;3997552640;12837752832;3997552640;12837806080;111962215;98393875;14492;4610;79986688;98955264;5950;2229;/data/Jakku/fonda/B5-EO-01-NF/work/4c/fa0da37084403b1ba31b254a0ff995;-;-
19;26/8f933d;23577;preprocessing:preprocess;LT05_L1TP_182036_20040617_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_182036_20040617_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673275;1625150673304;1625151129782;456507;452062;-;124.6;0.5;3993649152;12836298752;3993649152;12836352000;116528451;101619220;14846;4709;86024192;102182912;1378;834;/data/Jakku/fonda/B5-EO-01-NF/work/26/8f933d4c439dafa81837560ede4b86;-;-
43;0d/d11d85;24977;preprocessing:preprocess;LT05_L1TP_182036_19960729_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19960729_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673526;1625150673557;1625151130681;457155;448817;-;124.7;0.5;3985432576;12821852160;3985432576;12821905408;117437559;106099432;14624;4849;85708800;106659840;4517;2048;/data/Jakku/fonda/B5-EO-01-NF/work/0d/d11d855cb1d9c1e65f6166fe74e6f4;-;-
34;ce/a9966b;23472;preprocessing:preprocess;LE07_L1TP_182036_20040117_20170122_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20040117_20170122_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673263;1625150673302;1625151131328;458065;452590;-;127.6;0.5;4018962432;12861579264;4018962432;12861632512;107893483;89329770;14975;4285;76251136;89817088;1408;618;/data/Jakku/fonda/B5-EO-01-NF/work/ce/a9966b1efae37a03d23a360596e45f;-;-
79;4d/4f104d;24534;preprocessing:preprocess;LT05_L1TP_182036_19940622_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19940622_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673446;1625150673539;1625151133277;459831;453490;-;120.7;0.5;3970162688;12803751936;3970162688;12803805184;118016367;93849610;14572;4400;85622784;94306304;5429;1477;/data/Jakku/fonda/B5-EO-01-NF/work/4d/4f104db842121ecc4d444b6961b11f;-;-
10;39/1109e6;22916;preprocessing:preprocess;LT05_L1TP_182036_20000910_20171211_01_T1;preprocessing:preprocess (LT05_L1TP_182036_20000910_20171211_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673166;1625150673209;1625151135315;462149;459824;-;124.7;0.5;4004777984;12845719552;4004777984;12845772800;109089794;95156508;14610;4440;83185664;95625216;2791;828;/data/Jakku/fonda/B5-EO-01-NF/work/39/1109e6eb92e21b69f28f0ab1ddfa41;-;-
104;50/0b65fd;25094;preprocessing:preprocess;LT05_L1TP_182036_19950508_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19950508_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673538;1625150673638;1625151138403;464865;457930;-;128.1;0.5;3973980160;12809281536;3973980160;12809334784;113353097;94802243;14528;4430;81694720;95264768;1389;1010;/data/Jakku/fonda/B5-EO-01-NF/work/50/0b65fdc2c49a6cc10c410668114fbf;-;-
73;1a/097d08;23959;preprocessing:preprocess;LT05_L1TP_182036_19970529_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19970529_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625150673325;1625150673445;1625151139487;466162;460788;-;123.5;0.5;3996934144;12837310464;3996934144;12837363712;118807204;102816199;14664;4748;86339584;103391232;1398;814;/data/Jakku/fonda/B5-EO-01-NF/work/1a/097d0843c636aecc94b14cd17486a5;-;-
