task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;9f/2e34f0;nf-9f2e34f0429627b073dc24e22094813c;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1624459688737;1624459693000;1624459707000;18263;13732;-;93.9;0.1;24932352;86212608;25178112;86265856;69857726;3846649;26468;2293;3665920;5636096;270;25;/workdir/work/9f/2e34f0429627b073dc24e22094813c;true;-
2;9a/c8d10c;nf-9ac8d10c6aba71de25f971e911b964f7;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1624459688592;1624459693000;1624459734000;45408;36838;-;76.3;0.1;28090368;398278656;28332032;398450688;71469212;4801773;27785;2503;54882304;6701056;594;61;/workdir/work/9a/c8d10c6aba71de25f971e911b964f7;true;-
3;f0/7a51c5;nf-f07a51c551eefbe0b778d8d4081311e2;preprocessing:preprocess;LT05_L1TP_183035_20040811_20180309_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459738108;1624459746000;1624459960000;221892;213601;-;177.2;24.2;4073365504;5942378496;4073365504;5942431744;112432620;18999709;10912;1837;98304;19116032;567;1071;/workdir/work/f0/7a51c551eefbe0b778d8d4081311e2;true;-
28;f5/87af6c;nf-f587af6ccc82045c4829a5c8432c1d41;preprocessing:preprocess;LE07_L1TP_183035_20050923_20170112_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459741607;1624459753000;1624459959000;217393;206423;-;176.5;24.6;4131209216;6009507840;4131209216;6009561088;123319117;6632043;11634;1459;0;6754304;545;763;/workdir/work/f5/87af6ccc82045c4829a5c8432c1d41;true;-
6;8b/069c72;nf-8b069c72fafe1ce7241c4d052f47fceb;preprocessing:preprocess;LT05_L1TP_183035_19980523_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459738444;1624459746000;1624459963000;224556;217168;-;172.6;24.3;4084436992;5961752576;4084436992;5961805824;122203892;15527614;11292;1731;0;15654912;625;738;/workdir/work/8b/069c72fafe1ce7241c4d052f47fceb;true;-
13;c6/013ab4;nf-c6013ab4b91d6adddf599fdca06e8398;preprocessing:preprocess;LT05_L1TP_183035_19950718_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459739603;1624459749000;1624459968000;228397;219390;-;169.6;23.8;3993792512;5860831232;3993792512;5860884480;101250928;6503407;9763;1457;24576;6631424;615;712;/workdir/work/c6/013ab4b91d6adddf599fdca06e8398;true;-
24;7b/096ab6;nf-7b096ab6d05015dc61fc50a2b6b6d0d7;preprocessing:preprocess;LT05_L1TP_183035_19940917_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459741298;1624459749000;1624459964000;222702;214284;-;175.1;23.9;4018745344;5894713344;4018745344;5894766592;103280119;7761750;10018;1494;0;7888896;447;593;/workdir/work/7b/096ab6d05015dc61fc50a2b6b6d0d7;true;-
4;55/0bdd7f;nf-550bdd7fdbbf6b1b887a28b03c41d9ce;preprocessing:preprocess;LT05_L1TP_183035_19980421_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459738024;1624459745000;1624459969000;230976;224237;-;175.6;24.3;4081369088;5960581120;4081369088;5960634368;121552186;18587020;11350;1823;0;18706432;751;897;/workdir/work/55/0bdd7fdbbf6b1b887a28b03c41d9ce;true;-
14;29/d0b2c0;nf-29d0b2c0388eda035348150390c25e05;preprocessing:preprocess;LT05_L1TP_183035_20010616_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459739678;1624459751000;1624459975000;235322;224005;-;173.0;24.0;4036849664;5914595328;4036849664;5914648576;122743595;9003358;10635;1535;966656;9138176;613;968;/workdir/work/29/d0b2c0388eda035348150390c25e05;true;-
27;92/4ac4bf;nf-924ac4bfdcc745f163389d34b52ced90;preprocessing:preprocess;LT05_L1TP_183035_19991102_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624459741523;1624459751000;1624459974000;232477;222162;-;175.9;24.0;4027015168;5902303232;4027015168;5902356480;109156925;7150259;10140;1474;0;7266304;520;1175;/workdir/work/92/4ac4bfdcc745f163389d34b52ced90;true;-
