task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;84/85d521;113086;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1626791889664;1626791889678;1626791905116;15452;2882;-;445.6;0.0;29286400;124452864;30601216;124506112;69810045;2929249;26457;2068;59854848;4255744;531;13;/data/Jakku/fonda/B5-EO-01-NF/work/84/85d521b48bc8f5bf786243afdfe98b;-;-
1;91/5200ea;113088;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1626791889677;1626791889776;1626791923565;33888;28165;-;431.3;0.0;28635136;540057600;75726848;549240832;64992091;3132837;26960;2090;2628800512;4571136;2014;3030;/data/Jakku/fonda/B5-EO-01-NF/work/91/5200ea3b1f087bb8761ce351a5e321;-;-
49;03/4c2261;26648;preprocessing:preprocess;LT05_L1TP_182036_19990228_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19990228_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923914;1626791923997;1626792334871;410957;402943;-;120.6;0.5;4035338240;12871307264;4035338240;12871360512;107473447;91157174;14607;4367;76193792;91697152;3999;1491;/data/Jakku/fonda/B5-EO-01-NF/work/03/4c2261440137698126618a00dc814d;-;-
63;a1/5cd782;27493;preprocessing:preprocess;LE07_L1TP_182036_20050409_20170115_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20050409_20170115_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791924007;1626791924106;1626792360111;436104;430718;-;121.9;0.5;4024381440;12867981312;4024381440;12868034560;103150795;99126129;14995;4608;71380992;99663872;1958;560;/data/Jakku/fonda/B5-EO-01-NF/work/a1/5cd782bcacf1dd5d8d64609784f5a1;-;-
13;f5/e5ea13;25517;preprocessing:preprocess;LE07_L1TP_182036_20040913_20170119_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20040913_20170119_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923773;1626791923800;1626792365359;441586;435042;-;123.1;0.5;4028678144;12875046912;4028678144;12875100160;102737153;90756510;15020;4371;70787072;91308032;4665;2208;/data/Jakku/fonda/B5-EO-01-NF/work/f5/e5ea13834cdd8657f7961f4eb92ca5;-;-
35;c6/d6a661;25870;preprocessing:preprocess;LE07_L1TP_182036_20050425_20170115_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20050425_20170115_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923836;1626791923904;1626792374747;450911;446146;-;123.7;0.5;4023947264;12868407296;4023947264;12868460544;102296463;100317032;15034;4675;69804032;100896768;1392;481;/data/Jakku/fonda/B5-EO-01-NF/work/c6/d6a661226da361c4cf5ec0a5f47462;-;-
41;6c/4818b6;25961;preprocessing:preprocess;LT05_L1TP_182036_20060607_20180310_01_T1;preprocessing:preprocess (LT05_L1TP_182036_20060607_20180310_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923849;1626791923907;1626792378478;454629;449064;-;126.3;0.5;4019482624;12869795840;4019482624;12869849088;133299657;122217607;14969;5410;102416384;122880000;6165;1600;/data/Jakku/fonda/B5-EO-01-NF/work/6c/4818b672ecd21efeb6061eb076ab5d;-;-
47;b7/a281fe;26746;preprocessing:preprocess;LT05_L1TP_182036_19990823_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19990823_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923930;1626791924000;1626792379187;455257;451426;-;124.3;0.5;4004757504;12844691456;4004757504;12844744704;119946150;109190784;14619;4895;88068096;109694976;1488;731;/data/Jakku/fonda/B5-EO-01-NF/work/b7/a281feb97ddbefdc161ed32b16dba7;-;-
70;4f/5de397;26990;preprocessing:preprocess;LE07_L1TP_182036_20040406_20170121_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20040406_20170121_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923950;1626791924005;1626792383166;459216;451888;-;127.4;0.5;4018941952;12861599744;4018941952;12861652992;132495603;111296139;15086;4997;100339712;111841280;1552;852;/data/Jakku/fonda/B5-EO-01-NF/work/4f/5de397ece368c77b43833b141debfc;-;-
33;cc/a66ba3;27032;preprocessing:preprocess;LT05_L1TP_182036_20010422_20180921_01_T1;preprocessing:preprocess (LT05_L1TP_182036_20010422_20180921_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923955;1626791924006;1626792383889;459934;452706;-;126.9;0.5;3990241280;12825370624;3990241280;12825423872;138973166;120802020;14968;5325;106930176;121397248;1426;875;/data/Jakku/fonda/B5-EO-01-NF/work/cc/a66ba3812800c38ce9579c5f6b06af;-;-
64;83/f7f149;25812;preprocessing:preprocess;LT05_L1TP_182036_19960526_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19960526_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923827;1626791923902;1626792384568;460741;452173;-;126.5;0.5;3993223168;12831965184;3993223168;12832018432;125418834;118565508;14654;5276;93093888;119193600;1412;993;/data/Jakku/fonda/B5-EO-01-NF/work/83/f7f149b40d4013bbe39361308232f2;-;-
34;85/447f5b;26074;preprocessing:preprocess;LE07_L1TP_182036_20040117_20170122_01_T1;preprocessing:preprocess (LE07_L1TP_182036_20040117_20170122_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923859;1626791923910;1626792385166;461307;456424;-;124.8;0.5;4019609600;12861579264;4019609600;12861632512;108013040;105407841;15024;4830;76128256;105955328;1909;562;/data/Jakku/fonda/B5-EO-01-NF/work/85/447f5b607937c42d1d2b1e2cdff329;-;-
74;85/dbd3f8;26482;preprocessing:preprocess;LT05_L1TP_182036_19970529_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_182036_19970529_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923898;1626791923993;1626792385817;461919;455029;-;127.0;0.5;3997114368;12837310464;3997114368;12837363712;118981774;119803964;14739;5337;87339008;120467456;4846;1492;/data/Jakku/fonda/B5-EO-01-NF/work/85/dbd3f83988894186ae61caac7963de;-;-
19;80/03a6f8;25573;preprocessing:preprocess;LT05_L1TP_182036_20040617_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_182036_20040617_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1626791923786;1626791923802;1626792386438;462652;458142;-;125.4;0.5;3993669632;12836298752;3993669632;12836352000;116701230;118044388;14922;5280;84815872;118697984;6744;732;/data/Jakku/fonda/B5-EO-01-NF/work/80/03a6f8c3e276f36faeaf160afe5136;-;-
